city_id,City,Country,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
206,slantsy,RU,100,66,59.1182,28.0914,39.16,12.39
207,bogovarovo,RU,87,71,58.9785,47.0246,44.02,6.11
208,kundiawa,PG,95,87,-6.0167,144.9667,71.49,0.85
209,sawakin,SD,0,68,19.1059,37.3321,83.46,3.36
210,port macquarie,AU,4,73,-31.4333,152.9167,73.0,1.01
211,wairoa,NZ,18,75,-39.0333,177.3667,57.99,3.38
212,touros,BR,40,94,-5.1989,-35.4608,73.4,3.44
213,nemuro,JP,75,53,43.3236,145.575,46.4,11.5
214,vila franca do campo,PT,20,94,37.7167,-25.4333,55.4,4.61
215,guerrero negro,MX,25,75,27.9769,-114.0611,59.65,17.83
216,vanimo,PG,77,80,-2.6741,141.3028,82.76,5.01
217,kaliyaganj,IN,93,44,25.6333,88.3167,90.93,8.68
218,skuodas,LT,90,60,56.2667,21.5333,41.0,10.36
219,berlevag,NO,20,86,70.8578,29.0864,24.8,9.22
220,marau,BR,1,83,-28.4492,-52.2,59.4,3.56
221,toguchin,RU,88,38,55.2353,84.3858,57.02,20.69
222,tura,IN,99,43,25.5198,90.2201,88.27,5.32
223,kieta,PG,99,80,-6.2167,155.6333,82.9,2.06
224,lebanon,US,90,94,36.2081,-86.2911,64.4,3.44
225,bandarbeyla,SO,75,62,9.4942,50.8122,85.01,4.38
226,malanje,AO,99,98,-9.5402,16.341,62.94,3.8
227,college,US,75,35,64.8569,-147.8028,51.8,12.66
228,khorixas,NA,56,46,-20.3667,14.9667,65.23,8.88
229,duartina,BR,0,75,-22.4144,-49.4039,59.68,4.54
230,slave lake,CA,1,64,55.2834,-114.769,33.8,5.75
231,sola,VU,58,77,-13.8833,167.55,79.86,9.06
232,aswan,EG,0,13,24.0934,32.907,85.06,10.71
233,alexandria,EG,0,52,31.2156,29.9553,68.0,3.44
234,hare bay,CA,77,87,48.8499,-54.0148,37.4,9.22
235,auki,SB,99,76,-8.7676,160.7034,82.98,3.27
236,hohhot,CN,40,22,40.8106,111.6522,64.4,26.84
237,monrovia,LR,75,94,6.3005,-10.7969,77.0,9.22
238,kiunga,PG,83,65,-6.1219,141.2906,86.27,3.65
239,manapparai,IN,40,58,10.6,78.4167,91.4,3.44
240,faanui,PF,27,71,-16.4833,-151.75,81.64,6.78
241,haines junction,CA,92,48,60.7522,-137.5108,41.0,6.91
242,carutapera,BR,100,95,-1.195,-46.02,73.45,4.61
243,majene,ID,16,62,-3.5403,118.9707,86.99,5.28
244,iturama,BR,0,52,-19.7281,-50.1956,64.92,8.88
245,mount gambier,AU,90,77,-37.8333,140.7667,57.2,18.41
246,diffa,NE,51,19,13.3154,12.6113,80.87,9.4
247,ostrovnoy,RU,14,78,68.0531,39.5131,26.87,12.77
248,waterloo,CA,90,71,43.4668,-80.5164,51.8,12.66
249,upata,VE,98,92,8.0086,-62.3989,78.01,4.0
250,sokoto,NG,100,15,13.0609,5.239,82.62,7.76
251,saint george,US,1,39,37.1041,-113.5841,63.0,26.46
252,muravlenko,RU,3,62,63.7898,74.523,35.74,14.12
253,nouadhibou,MR,0,82,20.931,-17.0347,62.6,16.11
254,sao miguel do araguaia,BR,1,72,-13.275,-50.1628,71.78,3.6
255,awjilah,LY,52,11,29.1081,21.2869,85.24,7.11
256,lucapa,AO,100,96,-8.4192,20.7447,65.75,3.44
257,mangrol,IN,21,46,21.1167,70.1167,88.65,8.08
